sample_name	index	round	extraction_kit	extraction_kit_round	extraction_kit_id	extraction_vendor	bead_beating	incubation	biomass_plate	biomass_sample	storage_solution	swab_type	sample_number	sample_technical_replicate	sample_type	sample_type_1	sample_type_2	sample_type_3	unique_sample_id	collection_timestamp	description	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fresh_frozen	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	sex	latitude	longitude	physical_specimen_location	physical_specimen_remaining	dna_extracted	gdna_well_id	dna_conc_ng_ul	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	scientific_name	taxon_id	title
12201.be.f.A.1.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	1	not applicable	built environment	not applicable	floor	floor_site_1	built_environment.floor.A.1	1/16/19	1'x1' floor tile in bay 'D' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.A	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	F6	13.494	26.69	0.028	0.014	0.5	2	0.007	0.045	0.042	0.04	0.039	0.079	0.062	0.053	0.045	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.A.2.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	1	not applicable	built environment	not applicable	floor	floor_site_1	built_environment.floor.A.2	1/16/19	1'x1' floor tile in bay 'D' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.A	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	G6	17.007	16.52	0.032	0.017	0.531	2.125	0.008	0.045	0.042	0.04	0.039	0.085	0.067	0.056	0.047	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.A.3.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	1	not applicable	built environment	not applicable	floor	floor_site_1	built_environment.floor.A.3	1/16/19	1'x1' floor tile in bay 'D' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.A	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	H6	16.856	32.49	0.033	0.017	0.515	1.889	0.009	0.045	0.042	0.04	0.039	0.085	0.066	0.056	0.046	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.B.1.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	2	not applicable	built environment	not applicable	floor	floor_site_2	built_environment.floor.B.1	1/16/19	1'x1' floor tile in bay 'E' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.B	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	A7	13.26	37.41	0.026	0.014	0.538	2	0.007	0.045	0.042	0.04	0.039	0.077	0.062	0.053	0.045	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.B.2.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	2	not applicable	built environment	not applicable	floor	floor_site_2	built_environment.floor.B.2	1/16/19	1'x1' floor tile in bay 'E' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.B	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	B7	20.492	25.73	0.03	0.021	0.7	1.909	0.011	0.045	0.042	0.04	0.039	0.08	0.068	0.056	0.044	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.B.3.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	2	not applicable	built environment	not applicable	floor	floor_site_2	built_environment.floor.B.3	1/16/19	1'x1' floor tile in bay 'E' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.B	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	C7	15.397	22.74	0.029	0.016	0.552	2	0.008	0.045	0.042	0.04	0.039	0.078	0.062	0.052	0.043	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.k.A.1.1.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	3	not applicable	built environment	not applicable	keyboard	keyboard_A1	built_environment.keyboard.A_1.1	1/16/19	Subject A's MacBook Pro keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	D7	14.377	6.51	0.029	0.015	0.517	2.143	0.007	0.045	0.042	0.04	0.039	0.076	0.059	0.049	0.041	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.1.2.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	3	not applicable	built environment	not applicable	keyboard	keyboard_A1	built_environment.keyboard.A_1.2	1/16/19	Subject A's MacBook Pro keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	E7	16.526	11.34	0.031	0.017	0.548	1.889	0.009	0.045	0.042	0.04	0.039	0.082	0.065	0.055	0.045	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.1.3.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	3	not applicable	built environment	not applicable	keyboard	keyboard_A1	built_environment.keyboard.A_1.3	1/16/19	Subject A's MacBook Pro keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	F7	18.797	17.7	0.037	0.019	0.514	2.111	0.009	0.045	0.042	0.04	0.039	0.092	0.071	0.059	0.049	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.2.1.standard.L	not applicable	1	PowerSoil	PowerSoil r1	standard	Qiagen	not applicable	not applicable	low	low	not applicable	not applicable	4	not applicable	built environment	not applicable	keyboard	keyboard_A2	built_environment.keyboard.A_2.1	1/16/19	Subject A's external keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	True	G7	14.812	7.5	0.026	0.015	0.577	1.875	0.008	0.045	0.042	0.04	0.039	0.076	0.062	0.053	0.044	12201	indoor metagenome	1256227	Knight sample set for testing
